sn,location_raw,latitude,longitude,PH,EC,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,SO4,NO3,F,U_ppb,sample_date,NDVI,NDWI,Distance_to_Industry_km,Industrial_flag,hotspot_label,rain_actual_24h,rain_normal_24h,rain_pdn
292.0,Erode Kasipalayam (E),11.4556,77.3394,7.3,647.0,310.0,40.0,51.0,18.0,5.0,0.0,342.0,35.0,5.0,12.0,0.6,0.16,2022-05-01,0.126,0.214,18.94,0,0,3.9,23.6,-83.47
293.0,Erode Kathampalayam pz,11.4256,77.2411,7.7,1201.0,300.0,28.0,56.0,165.0,12.0,0.0,500.0,57.0,103.0,23.0,1.05,1.39,2022-05-01,0.676,0.066,12.14,0,1,19.0,6.9,175.36
294.0,Erode Kattupalayam pz,11.5453,77.5953,7.4,1090.0,480.0,52.0,85.0,42.0,5.0,0.0,177.0,106.0,189.0,62.0,0.42,1.37,2022-05-01,0.352,0.161,7.64,0,2,19.9,14.0,42.14
295.0,Erode Kavilipalayam,11.3802,77.2308,7.3,10700.0,2350.0,244.0,423.0,980.0,16.0,0.0,488.0,2871.0,184.0,76.0,1.73,37.8,2022-05-01,0.189,0.059,7.19,0,2,14.2,11.7,21.37
296.0,Erode Kavundappadi,11.4333,77.5583,7.5,1086.0,440.0,48.0,78.0,75.0,52.0,0.0,378.0,121.0,136.0,71.0,0.68,7.54,2022-05-01,0.466,-0.049,7.97,0,2,19.6,22.4,-12.5
297.0,Erode Kodumudi pz,11.0819,77.8853,7.0,1345.0,570.0,60.0,102.0,61.0,3.0,0.0,305.0,170.0,162.0,13.0,0.58,3.74,2022-05-01,0.639,0.322,60.37,0,0,11.4,6.7,70.15
298.0,Erode Kolappalur,12.5583,79.35,7.5,1475.0,600.0,64.0,107.0,112.0,33.0,0.0,366.0,277.0,238.0,45.0,1.17,2.97,2022-05-01,0.251,0.368,41.74,0,1,5.2,9.2,-43.48
299.0,Erode Kolathupalayam,10.7639,77.5842,7.4,2620.0,480.0,108.0,51.0,244.0,17.0,0.0,415.0,213.0,261.0,36.0,0.14,2.0,2022-05-01,0.536,0.334,38.66,0,1,8.7,20.0,-56.5
300.0,Erode Kosanam pz,11.3711,77.3578,7.8,851.0,200.0,36.0,27.0,97.0,23.0,0.0,220.0,177.0,12.0,40.0,1.56,2.4,2022-05-01,0.16,0.224,14.33,0,2,11.9,6.0,98.33
301.0,Erode Krishnapuram,11.5367,77.7097,7.4,1295.0,460.0,72.0,68.0,45.0,3.0,0.0,238.0,113.0,174.0,81.0,0.58,2.35,2022-05-01,0.136,0.166,19.09,0,2,1.5,14.9,-89.93
302.0,Erode Kullakalpalayam,10.8044,77.5569,7.7,1690.0,760.0,32.0,165.0,126.0,8.0,0.0,220.0,510.0,54.0,38.0,1.3,0.0,2022-05-01,0.472,0.504,40.25,0,1,12.4,13.8,-10.14
303.0,Erode Kunnathur,11.2692,77.4106,7.5,1471.0,415.0,60.0,64.0,59.0,80.0,0.0,342.0,142.0,94.0,38.0,0.42,3.36,2022-05-01,0.478,0.263,19.54,0,1,19.6,11.7,67.52
304.0,Erode Kurichi,11.5733,77.6939,8.0,545.0,250.0,32.0,41.0,13.0,8.0,0.0,140.0,64.0,10.0,62.0,0.73,0.53,2022-05-01,0.546,0.235,18.68,0,2,3.8,12.9,-70.54
305.0,Erode Molengkuttipalayam,11.0672,77.7022,7.7,3970.0,410.0,60.0,63.0,332.0,13.0,0.0,153.0,592.0,224.0,42.0,0.81,0.99,2022-05-01,0.608,-0.082,46.26,0,2,15.9,15.6,1.92
306.0,Erode Mulanur2,10.7917,77.7083,7.5,2400.0,630.0,168.0,51.0,185.0,14.0,0.0,317.0,298.0,242.0,48.0,1.2,1.63,2022-05-01,0.783,0.139,34.53,0,2,18.2,8.2,121.95
307.0,Erode Murlipudur,11.6781,77.656,7.6,4270.0,1300.0,152.0,224.0,150.0,2.0,0.0,390.0,496.0,682.0,67.0,0.79,7.85,2022-05-01,0.461,0.166,23.26,0,2,18.9,16.4,15.24
308.0,Erode Murukkandurai (Bhavanisagar),11.4833,77.15,7.4,705.0,210.0,32.0,32.0,60.0,5.0,0.0,275.0,35.0,74.0,17.0,0.6,0.48,2022-05-01,0.326,0.179,21.12,0,0,19.2,21.1,-9.0
309.0,Erode Muttur1,11.0417,77.7333,7.8,6400.0,1340.0,168.0,224.0,412.0,74.0,0.0,647.0,851.0,720.0,28.0,0.36,1.12,2022-05-01,0.657,0.306,49.65,0,2,10.4,20.2,-48.51
310.0,Erode Nagalapuram pz,11.0756,77.3628,7.5,2210.0,690.0,68.0,126.0,145.0,25.0,0.0,293.0,347.0,188.0,22.0,1.63,3.0,2022-05-01,0.29,0.274,9.16,0,2,19.5,8.1,140.74
311.0,Erode Nallampatti pz,11.3333,77.5417,7.4,826.0,330.0,72.0,36.0,24.0,5.0,0.0,311.0,43.0,65.0,40.0,0.74,9.16,2022-05-01,0.407,0.326,18.83,0,1,15.1,8.0,88.75
312.0,Erode Nambiyur,11.3606,77.3208,7.6,3390.0,720.0,68.0,134.0,333.0,21.0,0.0,464.0,404.0,333.0,52.0,1.88,45.7,2022-05-01,0.155,0.435,10.14,0,2,3.2,10.4,-69.23
313.0,Erode Nilangelvalasu pz,10.6431,77.7342,7.7,1300.0,550.0,60.0,97.0,35.0,4.0,0.0,415.0,99.0,114.0,17.0,1.62,1.2,2022-05-01,0.118,0.469,18.17,0,2,9.5,12.2,-22.13
314.0,Erode Ooricheri,11.465,77.6058,7.4,3530.0,1000.0,56.0,209.0,171.0,4.0,0.0,622.0,496.0,249.0,52.0,0.93,8.81,2022-05-01,0.774,0.403,8.33,0,2,14.4,13.2,9.09
315.0,Erode Otti Vilangadu,11.2242,77.4186,7.4,1960.0,700.0,64.0,131.0,78.0,7.0,0.0,427.0,113.0,254.0,66.0,1.83,4.55,2022-05-01,0.685,0.569,22.21,0,2,4.9,18.6,-73.66
316.0,Erode Padiyur pz,11.0639,77.4922,7.2,950.0,280.0,96.0,10.0,15.0,19.0,0.0,128.0,110.0,77.0,38.0,1.37,0.16,2022-05-01,0.587,-0.087,22.98,0,1,12.8,6.1,109.84
317.0,Erode Pandiyampalayam pz,11.3983,77.5175,7.1,2230.0,610.0,124.0,73.0,150.0,21.0,0.0,451.0,298.0,201.0,62.0,0.28,40.3,2022-05-01,0.386,0.037,11.91,0,2,13.3,5.7,133.33
318.0,Erode Papayampudur,10.6567,77.4678,7.6,2900.0,980.0,64.0,199.0,120.0,7.0,0.0,378.0,397.0,282.0,31.0,1.65,0.75,2022-05-01,0.221,-0.095,41.72,0,2,3.3,12.8,-74.22
319.0,Erode Pattaidurai,10.7011,77.7394,7.4,4500.0,1170.0,176.0,177.0,233.0,16.0,0.0,232.0,915.0,288.0,19.0,0.74,4.29,2022-05-01,0.21,0.353,23.9,0,2,11.3,18.9,-40.21
320.0,Erode Periyakolanalli pz,11.1744,77.8567,7.6,960.0,340.0,52.0,51.0,83.0,41.0,0.0,390.0,128.0,68.0,13.0,0.75,0.31,2022-05-01,0.275,0.529,50.58,0,0,15.4,8.9,73.03
321.0,Erode Periyapuliyur pz,11.4283,77.6492,7.9,2860.0,150.0,16.0,27.0,457.0,170.0,0.0,1122.0,199.0,177.0,62.0,1.27,23.16,2022-05-01,0.484,0.07,14.59,0,2,10.0,17.8,-43.82
322.0,Erode Perundurai1,11.2792,77.5847,7.5,2470.0,550.0,92.0,78.0,223.0,23.0,0.0,476.0,241.0,200.0,72.0,0.27,3.15,2022-05-01,0.6,0.549,25.31,0,2,0.2,10.2,-98.04
323.0,Erode Ponmudi,11.2608,77.5303,7.7,1988.0,540.0,48.0,102.0,238.0,50.0,0.0,317.0,411.0,182.0,25.0,1.0,13.0,2022-05-01,0.562,-0.058,26.91,0,1,0.2,22.7,-99.12
324.0,Erode Ponnapuram pz,10.6981,77.3906,7.7,1067.0,370.0,132.0,10.0,77.0,5.0,0.0,342.0,64.0,177.0,14.0,1.31,0.0,2022-05-01,0.296,0.554,40.26,0,1,7.1,22.9,-69.0
325.0,Erode Pudupalayam1,11.5944,77.5875,7.1,3840.0,1340.0,44.0,299.0,171.0,1.0,0.0,549.0,468.0,560.0,72.0,0.68,9.59,2022-05-01,0.768,0.146,11.39,0,2,18.5,10.9,69.72
326.0,Erode Puduppai pz,10.9586,77.7225,7.7,5790.0,1140.0,88.0,224.0,146.0,132.0,0.0,671.0,383.0,586.0,12.0,1.82,0.44,2022-05-01,0.617,-0.029,49.4,0,2,4.6,9.6,-52.08
327.0,Erode Puduvadavalli,11.5417,77.1761,7.3,1603.0,570.0,74.0,94.0,87.0,5.0,0.0,427.0,149.0,167.0,62.0,1.33,0.92,2022-05-01,0.488,0.24,26.05,0,2,12.7,13.2,-3.79
328.0,Erode Punjai Puliyampatti,11.3528,77.1694,7.48,1261.0,310.0,76.0,29.0,128.0,23.0,0.0,366.0,106.0,105.0,41.0,0.11,0.3,2022-05-01,0.528,0.08,8.92,0,1,4.4,9.8,-55.1
329.0,Erode Punjaiduraiampalayam,11.5131,77.4233,7.1,2300.0,500.0,112.0,53.0,191.0,10.0,0.0,458.0,248.0,223.0,55.0,0.34,3.71,2022-05-01,0.394,0.099,13.11,0,2,6.4,18.4,-65.22
330.0,Erode Punnachipudur dw,11.5919,77.6661,7.2,2830.0,940.0,92.0,173.0,167.0,2.0,0.0,317.0,468.0,375.0,82.0,0.63,13.0,2022-05-01,0.273,0.115,17.04,0,2,17.0,21.5,-20.93
331.0,Erode Punnam pz,11.5072,77.6139,7.3,1465.0,650.0,52.0,126.0,47.0,4.0,0.0,354.0,184.0,213.0,71.0,0.47,1.5,2022-05-01,0.349,0.462,8.1,0,2,14.6,18.5,-21.08
332.0,Erode Rajan Nagar pz,11.5289,77.1422,7.4,2240.0,530.0,48.0,100.0,182.0,4.0,0.0,512.0,227.0,184.0,60.0,0.28,1.63,2022-05-01,0.63,0.277,26.03,0,2,1.9,21.5,-91.16
333.0,Erode Sathiyamangalam,11.5028,77.2472,7.6,1619.0,430.0,56.0,70.0,170.0,10.0,0.0,476.0,170.0,177.0,70.0,1.08,3.59,2022-05-01,0.11,0.118,20.73,0,2,8.6,12.9,-33.33
334.0,Erode Settunampalayam pz,11.52,77.6033,7.3,2800.0,1010.0,44.0,219.0,107.0,22.0,0.0,268.0,588.0,253.0,67.0,0.81,31.0,2022-05-01,0.181,0.327,7.17,0,2,0.6,8.1,-92.59
335.0,Erode Unjalur,11.125,77.875,7.6,931.0,300.0,52.0,41.0,131.0,54.0,0.0,415.0,106.0,122.0,2.0,0.95,0.34,2022-05-01,0.132,0.401,55.99,0,0,9.6,19.8,-51.52
336.0,Erode Urachikottai,11.4847,77.6917,7.4,1867.0,690.0,108.0,102.0,122.0,23.0,0.0,427.0,255.0,205.0,80.0,0.12,4.5,2022-05-01,0.129,0.091,16.85,0,2,13.2,12.2,8.2
337.0,Erode Uthukuli pz,11.1744,77.4472,7.5,1484.0,460.0,52.0,80.0,126.0,26.0,0.0,586.0,170.0,62.0,32.0,1.36,0.68,2022-05-01,0.699,0.189,22.91,0,1,2.4,18.4,-86.96
338.0,Erode Varadanallur,11.4933,77.6986,7.0,884.0,370.0,44.0,63.0,30.0,2.0,0.0,268.0,57.0,68.0,62.0,0.87,0.77,2022-05-01,0.593,-0.015,17.52,0,2,5.8,10.4,-44.23
339.0,Erode Vellakoil,10.9444,77.7153,7.6,4600.0,1120.0,68.0,231.0,103.0,16.0,0.0,433.0,418.0,491.0,44.0,0.56,1.42,2022-05-01,0.432,0.027,48.95,0,2,8.0,6.6,21.21
340.0,Erode Vellitirupur,11.6208,77.6333,7.7,2200.0,640.0,60.0,119.0,82.0,24.0,0.0,598.0,142.0,159.0,56.0,0.78,2.85,2022-05-01,0.168,0.377,16.61,0,2,18.4,24.9,-26.1
341.0,Erode Velliyampalayamputhur pz,11.4886,77.1564,7.6,1467.0,280.0,44.0,41.0,112.0,12.0,0.0,317.0,92.0,136.0,14.0,0.79,0.38,2022-05-01,0.444,0.027,21.32,0,0,19.9,8.1,145.68
342.0,Erode Vijayamangalam pz,11.2444,77.5028,7.7,4044.0,600.0,56.0,112.0,163.0,252.0,0.0,244.0,652.0,12.0,34.0,1.44,2.13,2022-05-01,0.431,0.268,29.01,0,2,0.9,24.8,-96.37
343.0,Erode Vinnampalli,11.4328,77.2022,7.3,1443.0,300.0,32.0,53.0,146.0,17.0,0.0,244.0,149.0,139.0,53.0,0.15,0.79,2022-05-01,0.221,0.396,13.64,0,2,15.2,24.5,-37.96
344.0,Kancheepuram Acharapakkam1,12.4,79.8167,7.09,846.0,380.0,88.0,39.0,4.0,13.0,0.0,346.0,99.0,14.0,1.0,0.42,0.32,2022-05-01,0.404,-0.025,21.79,0,0,7.4,20.9,-64.59
345.0,Kancheepuram Agaram2,12.8875,80.1486,7.3,940.0,340.0,96.0,24.0,24.0,12.0,0.0,220.0,149.0,10.0,39.0,0.69,0.37,2022-05-01,0.379,0.297,26.87,0,1,7.8,18.2,-57.14
346.0,Kancheepuram Anakkaputhur,12.9833,80.125,7.28,1210.0,210.0,76.0,5.0,188.0,1.0,0.0,311.0,178.0,42.0,109.0,0.65,0.92,2022-05-01,0.531,0.08,23.61,0,2,15.1,16.6,-9.04
347.0,Kancheepuram Arasanimangalam,12.5689,79.7233,7.2,1110.0,310.0,32.0,56.0,135.0,10.0,0.0,323.0,192.0,18.0,49.0,0.89,1.07,2022-05-01,0.545,0.574,24.94,0,2,18.4,22.3,-17.49
348.0,Kancheepuram Athur1,12.3478,79.8892,7.37,1237.0,590.0,44.0,117.0,50.0,4.0,0.0,244.0,234.0,124.0,16.0,1.32,2.21,2022-05-01,0.132,0.238,23.01,0,1,19.0,10.8,75.93
349.0,Kancheepuram Baluchettychatram,10.4633,77.79,6.83,1473.0,550.0,100.0,73.0,119.0,16.0,0.0,214.0,270.0,198.0,6.0,0.6,9.42,2022-05-01,0.362,0.464,4.24,1,0,11.5,14.4,-20.14
350.0,Kancheepuram Blue beach road.,12.9539,80.2547,7.41,1426.0,400.0,112.0,29.0,90.0,45.0,0.0,201.0,192.0,160.0,59.0,0.23,2.94,2022-05-01,0.538,0.285,37.72,0,2,7.1,17.4,-59.2
351.0,Kancheepuram Chemmamcheri Periurban,12.8633,80.2261,7.29,810.0,440.0,40.0,83.0,12.0,10.0,0.0,159.0,178.0,56.0,74.0,0.48,0.32,2022-05-01,0.452,-0.07,35.88,0,2,15.8,13.2,19.7
352.0,Kancheepuram Chenglepet1,12.7,79.975,7.22,847.0,280.0,80.0,19.0,85.0,20.0,0.0,305.0,142.0,28.0,3.0,0.96,0.38,2022-05-01,0.7,0.343,17.28,0,0,5.0,13.5,-62.96
353.0,Kancheepuram Chinna Nilangarai,12.9575,80.2608,7.05,1694.0,480.0,116.0,46.0,129.0,47.0,0.0,262.0,213.0,210.0,51.0,0.44,5.19,2022-05-01,0.561,0.566,38.41,0,2,11.3,11.6,-2.59
354.0,Kancheepuram Chitlapakkam,12.9406,80.1375,7.38,585.0,230.0,36.0,34.0,11.0,14.0,0.0,171.0,57.0,60.0,3.0,0.45,0.59,2022-05-01,0.214,0.321,24.74,0,0,7.2,16.3,-55.83
355.0,Kancheepuram Chrompet,12.9514,80.1392,7.5,1728.0,490.0,32.0,100.0,173.0,16.0,0.0,671.0,231.0,57.0,5.0,0.22,1.11,2022-05-01,0.149,0.473,24.9,0,1,13.1,22.0,-40.45
356.0,Kancheepuram Chunambedu,12.2669,79.9844,7.19,1223.0,405.0,32.0,79.0,81.0,12.0,0.0,207.0,284.0,16.0,5.0,0.8,0.91,2022-05-01,0.55,0.519,16.94,0,0,4.8,9.0,-46.67
357.0,Kancheepuram Elegant Flat,12.9875,80.2639,7.3,1094.0,170.0,48.0,12.0,209.0,22.0,0.0,79.0,355.0,95.0,7.0,0.32,0.84,2022-05-01,0.119,0.06,38.96,0,0,3.8,23.7,-83.97
358.0,Kancheepuram Gerugambakkam,13.0153,80.1367,7.39,1412.0,350.0,30.0,67.0,159.0,30.0,0.0,458.0,153.0,143.0,17.0,0.46,4.94,2022-05-01,0.51,0.048,25.65,0,0,18.4,18.8,-2.13
359.0,Kancheepuram Guduvancheri,12.8417,80.0667,7.23,1159.0,440.0,88.0,54.0,12.0,28.0,0.0,305.0,163.0,21.0,44.0,0.8,0.17,2022-05-01,0.758,0.328,20.73,0,1,2.0,21.5,-90.7
360.0,Kancheepuram Hasthinapuram,12.9431,80.1478,7.46,1616.0,355.0,40.0,62.0,102.0,16.0,0.0,415.0,131.0,74.0,7.0,0.23,0.08,2022-05-01,0.503,0.188,25.87,0,1,10.1,16.1,-37.27
361.0,Kancheepuram Injambakkam,12.9339,80.2547,7.48,930.0,330.0,84.0,29.0,38.0,15.0,0.0,189.0,157.0,45.0,14.0,0.57,1.18,2022-05-01,0.372,0.488,37.77,0,0,4.4,20.6,-78.64
362.0,Kancheepuram Kalakshetra,10.4633,80.2636,7.35,1127.0,300.0,88.0,19.0,110.0,16.0,0.0,165.0,192.0,156.0,2.0,0.18,1.94,2022-05-01,0.55,0.53,39.38,0,0,0.8,5.3,-84.91
363.0,Kancheepuram Kancheepuram,12.8333,79.7083,7.44,1257.0,160.0,48.0,10.0,158.0,74.0,0.0,488.0,135.0,38.0,4.0,0.86,0.4,2022-05-01,0.421,0.147,16.03,0,0,0.7,21.4,-96.73
364.0,Kancheepuram Kattangulathur,12.8139,80.0333,7.26,775.0,170.0,44.0,15.0,106.0,13.0,0.0,293.0,85.0,8.0,27.0,0.69,0.28,2022-05-01,0.482,0.066,20.06,0,1,3.5,5.8,-39.66
365.0,Kancheepuram Kattur 12 34 14 80 0 59 7.57 450 210 20 39 4 4 0 140 43 41 2,0.89,0.31,,,,,,,,,,,,,,,2022-05-01,0.759,0.446,8460.45,0,0,17.3,22.8,-24.12
366.0,"Kancheepuram KCG Garden, Vettuvankani",12.9433,80.2569,7.66,1312.0,320.0,72.0,34.0,162.0,22.0,0.0,267.0,198.0,146.0,3.0,0.56,1.11,2022-05-01,0.37,0.092,37.97,0,0,5.6,24.8,-77.42
367.0,Kancheepuram Kilkattalai,12.9622,80.1842,7.13,1624.0,375.0,22.0,77.0,163.0,13.0,0.0,329.0,249.0,96.0,31.0,0.31,1.78,2022-05-01,0.773,0.476,29.93,0,1,19.0,10.9,74.31
368.0,Kancheepuram Kolapakkam,12.8686,80.1103,7.07,1504.0,360.0,80.0,39.0,178.0,13.0,0.0,500.0,206.0,47.0,36.0,0.97,1.95,2022-05-01,0.734,0.197,23.52,0,1,11.6,9.2,26.09
369.0,Kancheepuram Kolathanallur,12.3472,79.9083,7.27,1380.0,380.0,56.0,58.0,144.0,13.0,0.0,427.0,227.0,17.0,6.0,0.53,3.28,2022-05-01,0.237,0.367,22.58,0,0,8.7,20.3,-57.14
370.0,Kancheepuram KOTTIVAKKAM,12.9681,80.26,7.36,1587.0,400.0,60.0,61.0,166.0,32.0,0.0,244.0,259.0,122.0,120.0,0.27,5.79,2022-05-01,0.149,-0.033,38.36,0,2,11.6,10.1,14.85
371.0,Kancheepuram Kundathur periurban,13.0019,80.0694,7.6,1200.0,320.0,34.0,57.0,133.0,20.0,0.0,366.0,163.0,87.0,2.0,0.11,6.45,2022-05-01,0.171,0.337,18.08,0,0,10.3,22.3,-53.81
372.0,Kancheepuram Kunnattur,13.0027,80.0992,7.51,1210.0,510.0,44.0,97.0,6.0,0.0,0.0,238.0,213.0,19.0,5.0,0.81,5.0,2022-05-01,0.113,0.216,21.27,0,0,15.2,7.1,114.08
373.0,Kancheepuram Lions Club,12.9272,80.2639,7.45,545.0,250.0,52.0,34.0,28.0,30.0,0.0,128.0,142.0,18.0,46.0,0.27,4.96,2022-05-01,0.166,0.311,38.83,0,2,5.6,7.5,-25.33
374.0,Kancheepuram Maduranthakam,12.5083,79.8917,7.25,1225.0,380.0,96.0,34.0,127.0,12.0,0.0,500.0,156.0,12.0,27.0,0.91,4.29,2022-05-01,0.578,0.018,7.48,0,1,7.1,24.6,-71.14
375.0,Kancheepuram Mahabalipuram,12.625,80.1917,7.39,265.0,130.0,32.0,12.0,2.0,2.0,0.0,132.0,24.0,4.0,6.0,0.81,0.34,2022-05-01,0.15,0.416,28.52,0,0,17.9,18.5,-3.24
376.0,Kancheepuram Mangadu,13.0247,80.1089,7.28,1320.0,390.0,88.0,41.0,145.0,20.0,0.0,311.0,181.0,103.0,55.0,0.25,1.76,2022-05-01,0.323,0.504,23.06,0,2,18.9,21.9,-13.7
377.0,Kancheepuram Mannivakkam,12.8916,80.0694,7.35,690.0,225.0,28.0,38.0,52.0,12.0,0.0,177.0,71.0,68.0,13.0,0.76,0.66,2022-05-01,0.691,0.052,18.36,0,0,17.9,11.5,55.65
378.0,Kancheepuram Meenambakkam1,12.9722,80.1736,7.26,1148.0,405.0,58.0,63.0,65.0,14.0,0.0,311.0,110.0,150.0,4.0,0.35,1.06,2022-05-01,0.116,-0.033,28.82,0,0,8.4,18.5,-54.59
379.0,Kancheepuram Mudichur,12.8919,80.0689,7.22,820.0,260.0,64.0,24.0,72.0,23.0,0.0,232.0,110.0,74.0,17.0,0.45,0.66,2022-05-01,0.67,-0.083,18.29,0,0,15.6,16.9,-7.69
380.0,Kancheepuram Muttukadu,12.8219,80.2406,6.4,1755.0,380.0,80.0,44.0,216.0,20.0,0.0,268.0,426.0,48.0,3.0,0.89,2.34,2022-05-01,0.297,0.349,38.87,0,1,9.5,17.1,-44.44
381.0,Kancheepuram Nagalkeni,12.9575,80.1261,7.45,1580.0,275.0,18.0,56.0,182.0,22.0,0.0,482.0,199.0,23.0,3.0,0.6,1.29,2022-05-01,0.183,0.325,23.46,0,1,10.0,18.7,-46.52
382.0,Kancheepuram Nandambakkam,13.0042,80.1875,7.24,710.0,310.0,64.0,36.0,32.0,9.0,0.0,171.0,142.0,12.0,12.0,0.76,0.27,2022-05-01,0.588,0.283,30.85,0,0,4.1,16.5,-75.15
383.0,Kancheepuram Nedunkundram,12.8847,80.1136,7.54,1030.0,440.0,24.0,92.0,58.0,10.0,0.0,207.0,178.0,110.0,24.0,0.81,0.78,2022-05-01,0.54,0.062,23.24,0,1,11.8,13.6,-13.24
384.0,Kancheepuram Neelangarai,12.9542,80.2556,7.29,1639.0,400.0,84.0,46.0,117.0,25.0,0.0,195.0,192.0,232.0,17.0,0.73,2.54,2022-05-01,0.714,0.174,37.82,0,1,3.7,10.5,-64.76
385.0,Kancheepuram Paddapai,12.9125,80.0125,7.44,1596.0,243.0,10.0,106.0,88.0,8.0,0.0,201.0,220.0,210.0,21.0,0.92,2.61,2022-05-01,0.615,0.316,11.63,0,1,6.6,20.4,-67.65
386.0,Kancheepuram PALKALAI NAGAR,12.9633,80.2617,7.55,1602.0,385.0,50.0,63.0,148.0,37.0,0.0,476.0,213.0,15.0,39.0,0.4,6.12,2022-05-01,0.662,0.248,38.53,0,1,17.1,9.5,80.0
387.0,Kancheepuram Pallavaram,12.9728,80.1544,7.04,2270.0,570.0,90.0,84.0,205.0,14.0,0.0,384.0,380.0,248.0,7.0,0.52,5.78,2022-05-01,0.297,0.591,26.7,0,1,4.1,18.8,-78.19
388.0,Kancheepuram Pallikaranai,12.9264,80.1978,7.8,1417.0,100.0,32.0,5.0,273.0,12.0,0.0,79.0,469.0,22.0,1.0,0.76,0.79,2022-05-01,0.224,-0.004,31.52,0,0,1.4,9.7,-85.57
389.0,Kancheepuram Panruti Kandigai,12.8506,79.9119,7.41,558.0,140.0,44.0,7.0,73.0,6.0,0.0,165.0,107.0,10.0,7.0,0.7,0.83,2022-05-01,0.625,0.387,11.09,0,0,1.4,17.5,-92.0
390.0,Kancheepuram Perungulathur,12.9167,80.1083,7.61,2370.0,500.0,48.0,92.0,264.0,17.0,0.0,427.0,433.0,92.0,20.0,0.6,1.7,2022-05-01,0.665,0.183,21.8,0,1,18.8,19.9,-5.53
391.0,Kancheepuram Podavur (Melpodavur),12.9237,79.7455,7.78,575.0,180.0,28.0,27.0,59.0,11.0,0.0,226.0,36.0,55.0,14.0,0.7,0.14,2022-05-01,0.793,0.2,19.03,0,0,10.1,9.4,7.45
392.0,Kancheepuram Ponmar,12.8556,80.1694,7.32,1030.0,430.0,44.0,78.0,56.0,5.0,0.0,207.0,178.0,98.0,25.0,0.73,0.33,2022-05-01,0.389,0.402,30.15,0,1,8.2,6.2,32.26
393.0,Kancheepuram Poonamallee,13.0567,80.0819,7.27,1510.0,375.0,42.0,66.0,188.0,21.0,0.0,384.0,209.0,146.0,10.0,0.45,4.25,2022-05-01,0.36,0.385,21.97,0,1,16.2,7.6,113.16
394.0,Kancheepuram Porur dw,13.0225,80.1533,7.31,980.0,350.0,28.0,68.0,56.0,14.0,0.0,195.0,199.0,36.0,22.0,0.73,0.6,2022-05-01,0.643,0.594,27.65,0,1,16.7,17.1,-2.34
395.0,Kancheepuram Putheri EW,12.8395,79.6787,7.63,1102.0,80.0,24.0,5.0,210.0,3.0,0.0,214.0,178.0,76.0,6.0,0.84,2.56,2022-05-01,0.339,-0.01,12.73,0,0,6.6,22.0,-70.0
396.0,Kancheepuram Rettamangalam,12.6333,79.8333,7.31,790.0,330.0,28.0,63.0,28.0,14.0,0.0,177.0,121.0,46.0,16.0,1.11,2.21,2022-05-01,0.752,-0.027,15.84,0,1,13.9,5.9,135.59
397.0,Kancheepuram Sadras,12.5203,80.1517,7.45,1107.0,255.0,26.0,46.0,123.0,17.0,0.0,250.0,178.0,18.0,59.0,0.73,4.05,2022-05-01,0.701,0.407,22.92,0,2,15.4,19.7,-21.83
398.0,"Kancheepuram Seashore Appartment, 39",12.9828,80.2656,7.38,1389.0,190.0,36.0,24.0,227.0,24.0,0.0,67.0,398.0,42.0,20.0,0.34,0.49,2022-05-01,0.4,0.305,39.1,0,0,13.1,11.8,11.02
399.0,"Kancheepuram Seashore Appartment, 40",12.9786,80.2656,7.22,1543.0,190.0,76.0,0.0,247.0,21.0,0.0,73.0,419.0,92.0,20.0,0.22,1.01,2022-05-01,0.626,0.092,39.06,0,1,3.0,14.6,-79.45
400.0,Kancheepuram Sholinganallur Periurban,12.9,80.2333,7.05,2970.0,360.0,80.0,39.0,425.0,72.0,0.0,195.0,639.0,210.0,11.0,0.53,0.22,2022-05-01,0.628,-0.044,35.79,0,1,17.5,23.6,-25.85
401.0,Kancheepuram Sriperumbudur,12.9667,79.95,7.21,276.0,150.0,20.0,24.0,11.0,4.0,0.0,61.0,71.0,8.0,8.0,0.76,0.14,2022-05-01,0.172,-0.04,4.3,1,0,10.8,11.6,-6.9
402.0,Kancheepuram St.Thomas Mount dw,13.0072,80.1978,7.2,1895.0,460.0,48.0,83.0,167.0,14.0,0.0,433.0,231.0,150.0,55.0,0.12,1.88,2022-05-01,0.732,0.526,32.03,0,2,5.6,14.3,-60.84
403.0,Kancheepuram Tambaram1,12.9333,80.1333,7.39,830.0,360.0,48.0,58.0,48.0,1.0,0.0,195.0,156.0,23.0,47.0,0.72,0.14,2022-05-01,0.454,0.034,24.32,0,2,8.5,5.3,60.38
404.0,Kancheepuram Thirumukkudal,12.7375,79.8417,7.34,785.0,250.0,48.0,32.0,75.0,19.0,0.0,185.0,142.0,55.0,3.0,0.89,1.6,2022-05-01,0.679,0.126,24.17,0,0,0.8,6.6,-87.88
405.0,Kancheepuram Thiruporur,12.8083,80.1875,7.37,590.0,250.0,32.0,41.0,20.0,14.0,0.0,195.0,78.0,25.0,3.0,0.78,0.65,2022-05-01,0.324,0.059,34.13,0,0,2.6,10.2,-74.51
406.0,Kancheepuram Thiruverkadu,13.0669,80.1367,7.4,1270.0,340.0,112.0,15.0,126.0,13.0,0.0,281.0,149.0,210.0,7.0,0.64,1.03,2022-05-01,0.727,0.148,27.81,0,0,15.3,5.6,173.21
